Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV2477;Warrnambool;;;;;;;;;;;;;
PROV1795;Bambuhu;;;;;;;;;;;;;
PROV1905;Sia;;;;;;;;;;;;;
PROV1981;Elba;;;;;;;;;;;;;
PROV2131;Falkland & South Georgia;;;;;;;;;;;;;
PROV3319;Vahitahi;;;;;;;;;;;;;
PROV3320;Vairaatea;;;;;;;;;;;;;
PROV3321;Nukutavake;;;;;;;;;;;;;
PROV3322;Pinaki;;;;;;;;;;;;;
FRA_411;Ardennes;;;;;;;;;;;;;
PROV934;Samawah;;;;;;;;;;;;;
AUS_627;Lower Silesia;;;;;;;;;;;;;
ABU_1162;Arabian Gulf;;;;;;;;;;;;;
EGY_897;Western Syria;;;;;;;;;;;;;
EGY_903;Eastern Syria;;;;;;;;;;;;;
PROV928;Baqubah;;;;;;;;;;;;;
PROV1813;Hasakah;;;;;;;;;;;;;
PROV907;Deir ez-Zor;;;;;;;;;;;;;
PROV901;Raqqah;;;;;;;;;;;;;
PROV2133;Gizab;;;;;;;;;;;;;
PROV1214;Zaranj;;;;;;;;;;;;;
PROV582;Bielefeld;;;;;;;;;;;;;
FRA_400;Champagne;;;;;;;;;;;;;
PROV2346;Colonia;;;;;;;;;;;;;
PROV1447;Taliabu;;;;;;;;;;;;;
BEL_1977;Lower Congo;;;;;;;;;;;;;
TUR_832;Thessaly;;;;;;;;;;;;;
PROV1972;Baraka;;;;;;;;;;;;;
EGY_1758;Western Desert;;;;;;;;;;;;;
PROV1895;Daloa;;;;;;;;;;;;;
FRA_1775;Trab el Beidan;;;;;;;;;;;;;
PROV2721;Heligoland Bight;;;;;;;;;;;;;
RUS_959;Volyn;;;;;;;;;;;;;
druze;Druze;;;;;;;;;;;;;
PROV911;Ma'an;;;;;;;;;;;;;
PROV910;Azraq;;;;;;;;;;;;;
PROV2582;Cattaro;;;;;;;;;;;;;
PROV1839;Al-Fula;;;;;;;;;;;;;
PROV1739;An Nuhud;;;;;;;;;;;;;
PROV1806;Bayuda;;;;;;;;;;;;;
PROV2046;Mbeya;;;;;;;;;;;;;
PROV1850;Keren;;;;;;;;;;;;;
AUS_733;Friuli;;;;;;;;;;;;;
PAP_741;Emilia-Romagna;;;;;;;;;;;;;
mining_district;Mining District;;;;;;;;;;;;;
new_world_semidesert;Desert Scrublands;;;;;;;;;;;;;
new_world_desert;Desert;;;;;;;;;;;;;
new_world_boreal;Taiga;;;;;;;;;;;;;
new_world_montane_tundra;Alpine Tundra;;;;;;;;;;;;;
new_world_arctic;Tundra;;;;;;;;;;;;;
new_world_mountain;Montane Grassland;;;;;;;;;;;;;
new_world_jungle;Jungle;;;;;;;;;;;;;
new_world_plains;Grassland;;;;;;;;;;;;;
new_world_small_island;Island;;;;;;;;;;;;;
arid_climate;Arid Climate;;;;;;;;;;;;;
CANAL_6;English Channel;;;;;;;;;;;;;
GRE_837;Central Greece;;;;;;;;;;;;;
PROV2669;Sondrio;;;;;;;;;;;;;
PROV8;Belluno;;;;;;;;;;;;;
PROV2351;Magdalena;;;;;;;;;;;;;
PROV10;Pescara;;;;;;;;;;;;;
PROV3318;Lake Saimaa;;;;;;;;;;;;;
PROV3317;Lake Päijänne;;;;;;;;;;;;;
PROV3316;Lake Oulujärvi;;;;;;;;;;;;;
PROV3315;Lake Segozero;;;;;;;;;;;;;
PROV3314;Lake Storsjön;;;;;;;;;;;;;
PROV3313;Lake Siljan;;;;;;;;;;;;;
PROV3312;Lake Hjälmaren;;;;;;;;;;;;;
PROV3311;Lough Neagh;;;;;;;;;;;;;
PROV3310;Hulun Lake;;;;;;;;;;;;;
PROV3309;Namak Lake;;;;;;;;;;;;;
PROV3308;Khar Us Lake;;;;;;;;;;;;;
PROV3307;Khyargas Lake;;;;;;;;;;;;;
PROV3306;Uvs Lake;;;;;;;;;;;;;
PROV3305;Khovsgol Lake;;;;;;;;;;;;;
PROV3304;Lake Zaysan;;;;;;;;;;;;;
PROV3303;Lake Alakol;;;;;;;;;;;;;
PROV3302;Khanka Lake;;;;;;;;;;;;;
PROV3301;Hung-tse Lake;;;;;;;;;;;;;
PROV3300;Siling Lake;;;;;;;;;;;;;
PROV3299;Chott Chergui;;;;;;;;;;;;;
PROV3298;Chott el Hodna;;;;;;;;;;;;;
PROV3297;Chott Melghir;;;;;;;;;;;;;
PROV3296;Chott el Djerid;;;;;;;;;;;;;
PROV3295;Taihu Lake;;;;;;;;;;;;;
PROV3294;Lake Mweru;;;;;;;;;;;;;
PROV3293;Lake Rukwa;;;;;;;;;;;;;
PROV3292;Lake Argyle;;;;;;;;;;;;;
PROV3291;Lake Mackay;;;;;;;;;;;;;
PROV3290;Lake Eyre;;;;;;;;;;;;;
PROV3289;Lake Frome;;;;;;;;;;;;;
PROV3288;Lake Torrens;;;;;;;;;;;;;
PROV3287;Lake Gairdner;;;;;;;;;;;;;
PROV3286;Songkhla Lake;;;;;;;;;;;;;
PROV3285;Fagnano Lake;;;;;;;;;;;;;
PROV12;Sado;;;;;;;;;;;;;
PROV1531;Tombara;;;;;;;;;;;;;
PROV2537;Birara;;;;;;;;;;;;;
PROV158;Grand Portage;;;;;;;;;;;;;
PROV29;Kyzylkum;;;;;;;;;;;;;
PROV2595;Nunavut;;;;;;;;;;;;;
PROV25;Old Bow Fort;;;;;;;;;;;;;
PROV6;Selkirk;;;;;;;;;;;;;
PROV35;Fort Pitt;;;;;;;;;;;;;
PROV28;Jasper;;;;;;;;;;;;;
PROV26;Rocky Mountain House;;;;;;;;;;;;;
PROV22;Buckingham House;;;;;;;;;;;;;
PROV24;Fort Chesterfield;;;;;;;;;;;;;
PROV34;Fort Carlton;;;;;;;;;;;;;
PROV33;Battleford;;;;;;;;;;;;;
PROV41;Fort Ellice;;;;;;;;;;;;;
PROV2594;Osnaburgh House;;;;;;;;;;;;;
PROV49;Rat Portage;;;;;;;;;;;;;
PROV52;Orillia;;;;;;;;;;;;;
PROV75;Port-Aux-Basques;;;;;;;;;;;;;
PROV69;Petit-Sault;;;;;;;;;;;;;
PROV683;Waldenburg;;;;;;;;;;;;;
PROV43;Clarksville;;;;;;;;;;;;;
PROV134;Fort Parker;;;;;;;;;;;;;
PROV135;Llano Estacado;;;;;;;;;;;;;
PROV85;Sonoma;;;;;;;;;;;;;
urban;Urban;;;;;;;;;;;;;
FRA_1901;Houet;;;;;;;;;;;;;
ASH_1910;Volta;;;;;;;;;;;;;
PROV155;Fort Snelling;;;;;;;;;;;;;
PROV156;Fort Renville;;;;;;;;;;;;;
PROV157;Fort Ripley;;;;;;;;;;;;;
PROV92;Kullyspell;;;;;;;;;;;;;
PROV93;Fort Hall;;;;;;;;;;;;;
PROV123;Fort Robidoux;;;;;;;;;;;;;
PROV124;Bordeaux's Post;;;;;;;;;;;;;
PROV125;Fontenelle's Post;;;;;;;;;;;;;
PROV126;Fort Leavenworth;;;;;;;;;;;;;
PROV127;Fort Mann;;;;;;;;;;;;;
PROV113;Gallatin Valley;;;;;;;;;;;;;
PROV117;Fort Clark;;;;;;;;;;;;;
PROV118;Fort James;;;;;;;;;;;;;
PROV119;Fort Union;;;;;;;;;;;;;
PROV122;Fort Pierre;;;;;;;;;;;;;
PROV121;Fort Cedar;;;;;;;;;;;;;
PROV120;Fort Kiowa;;;;;;;;;;;;;
PROV114;Fort Owen;;;;;;;;;;;;;
PROV115;Fort Benton;;;;;;;;;;;;;
PROV116;Fort Van Buren;;;;;;;;;;;;;
PROV131;Fort Washita;;;;;;;;;;;;;
PROV130;Fort Gibson;;;;;;;;;;;;;
PROV111;Fort Bonneville;;;;;;;;;;;;;
PROV112;Fort Laramie;;;;;;;;;;;;;
PROV106;Bent's Fort;;;;;;;;;;;;;
PROV2702;Alty-Kuduk;;;;;;;;;;;;;
PROV1210;Kunduz;;;;;;;;;;;;;
PROV1196;Gurgench;;;;;;;;;;;;;
PROV686;Merv;;;;;;;;;;;;;
BUR_1334;Mandalay;;;;;;;;;;;;;
PROV2623;Midway and Wake Islands;;;;;;;;;;;;;
PROV2524;Kirikiriroa;;;;;;;;;;;;;
PROV579;Neuwied;;;;;;;;;;;;;
PROV574;Koblenz;;;;;;;;;;;;;
PROV547;Greifswald;;;;;;;;;;;;;
PROV57;Bytown;;;;;;;;;;;;;
PROV2036;Mzizima;;;;;;;;;;;;;
PROV2681;Taipei;;;;;;;;;;;;;
PROV1485;Tainan;;;;;;;;;;;;;
PROV2562;Taitung;;;;;;;;;;;;;
PROV1743;Nordhorn;;;;;;;;;;;;;
PROV1738;Al Jaghbub;;;;;;;;;;;;;
PROV2585;Al Jawf;;;;;;;;;;;;;
PROV1742;Wath;;;;;;;;;;;;;
PROV1744;Sabha;;;;;;;;;;;;;
PROV2016;Mpika;;;;;;;;;;;;;
PROV2017;Mwansabombwe;;;;;;;;;;;;;
PROV3104;Lake Nyasa;;;;;;;;;;;;;
PROV702;Lemberg;;;;;;;;;;;;;
PROV952;Tarnopol;;;;;;;;;;;;;
PROV2605;Ngaanyatjarraku;;;;;;;;;;;;;
PROV2601;Wilkinkarra;;;;;;;;;;;;;
PROV2495;Tirari;;;;;;;;;;;;;
PROV1990;Kindu;;;;;;;;;;;;;
PROV1991;Rusozi;;;;;;;;;;;;;
PROV2471;Bathurst;;;;;;;;;;;;;
PROV2496;Nullarbor;;;;;;;;;;;;;
PROV2603;Chanamee;;;;;;;;;;;;;
PROV2507;Mparntwe;;;;;;;;;;;;;
PROV2505;Port Essington;;;;;;;;;;;;;
RUS_973;Kherson-Zaporizhia;;;;;;;;;;;;;
RUS_955;Yekaterinoslav;;;;;;;;;;;;;
PROV3107;Lake Baikal;;;;;;;;;;;;;
PROV2589;Tsushima;;;;;;;;;;;;;
PROV1724;Orkney & Shetland;;;;;;;;;;;;;
PROV1858;Asaita;;;;;;;;;;;;;
australia_new_zealand;Oceania;;;;;;;;;;;;;
polynesia;Polynesia;;;;;;;;;;;;;
desert;Desert;;;;;;;;;;;;;
semidesert;Semidesert;;;;;;;;;;;;;
small_island;Island;;;;;;;;;;;;;
coral_island;Atoll;;;;;;;;;;;;;
forest;Forest;;;;;;;;;;;;;
boreal;Taiga;;;;;;;;;;;;;
arctic;Tundra;;;;;;;;;;;;;
plains;Grassland;;;;;;;;;;;;;
hills;Grassland Hills;;;;;;;;;;;;;
dryhills;Dry Grassland Hills;;;;;;;;;;;;;
mountain;Montane Grassland;;;;;;;;;;;;;
montane_tundra;Alpine Tundra;;;;;;;;;;;;;
montane_forest;Montane Forest;;;;;;;;;;;;;
savanna;Savanna;;;;;;;;;;;;;
PROV1377;Da Nang;;;;;;;;;;;;;
PROV1720;Bechar;;;;;;;;;;;;;
PROV1714;Santa Rosa;;;;;;;;;;;;;
PROV2631;Unalakleet;;;;;;;;;;;;;
PROV1780;Debar;;;;;;;;;;;;;
PROV2371;Uquia;;;;;;;;;;;;;
PROV2953;New York Bight;;;;;;;;;;;;;
PROV2954;Chesapeake Bay;;;;;;;;;;;;;
PROV1930;Idah;;;;;;;;;;;;;
PROV1937;Wukari;;;;;;;;;;;;;
PROV1936;Nsukka;;;;;;;;;;;;;
PROV2697;Jingkiri;;;;;;;;;;;;;
PROV1081;Yakesa;;;;;;;;;;;;;
RUS_1072;Hailanpao;;;;;;;;;;;;;
PROV1085;Hailanpao;;;;;;;;;;;;;
PROV1600;Urumqi;;;;;;;;;;;;;
PROV2839;Gulf of Patience;;;;;;;;;;;;;
PROV2831;Soya Strait;;;;;;;;;;;;;
PROV2830;East Sea;;;;;;;;;;;;;
PROV1557;Xining;;;;;;;;;;;;;
PROV2329;Araucanía;;;;;;;;;;;;;
PROV2326;Aconcagua;;;;;;;;;;;;;
PROV2244;Christimas & Cocos;;;;;;;;;;;;;
PROV2406;Penghu;;;;;;;;;;;;;
PROV2113;uMgungundlovu;;;;;;;;;;;;;
PROV2110;Tsaneng;;;;;;;;;;;;;
PROV2058;Moyo;;;;;;;;;;;;;
PROV2050;Manjakazi;;;;;;;;;;;;;
POR_2049;Gaza;;;;;;;;;;;;;
PROV2049;Inkomati;;;;;;;;;;;;;
POR_2060;Moçambique;;;;;;;;;;;;;
PROV2088;O'okiep;;;;;;;;;;;;;
PROV2558;Emthanjeni;;;;;;;;;;;;;
PROV2093;Hantam;;;;;;;;;;;;;
PROV2084;Nomabeb;;;;;;;;;;;;;
PROV2081;Luhonono;;;;;;;;;;;;;
PROV2082;Epako;;;;;;;;;;;;;
PROV2080;Otjivanda;;;;;;;;;;;;;
PROV1788;Kahone;;;;;;;;;;;;;
PROV1540;Nantong;;;;;;;;;;;;;
PROV2526;Palmyra and Line Islands;;;;;;;;;;;;;
TIB_1591;Tibetan Plateau;;;;;;;;;;;;;
PROV2482;Van Diemen's Land;;;;;;;;;;;;;
PROV2382;Laboulaye;;;;;;;;;;;;;
PROV2640;Gwadar;;;;;;;;;;;;;
PROV1071;Qeshm;;;;;;;;;;;;;
PROV2786;Gulf of Oman;;;;;;;;;;;;;
PROV2787;Hormuz Strait;;;;;;;;;;;;;
PROV2664;Khasab;;;;;;;;;;;;;
PROV45;Marigot;;;;;;;;;;;;;
PROV2236;Philipsburg;;;;;;;;;;;;;
PEU_2297;Cusco;;;;;;;;;;;;;
