Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
bayonet_charge;Bayonet Charge;;;;;;;;;;;;;
bayonet_charge_desc;The development of the bayonet in the late 17th century led to the bayonet charge becoming the main infantry tactic through the 19th century and into the 20th. As early as the 19th century, military scholars were already noting that most bayonet charges did not result in close combat. Instead, one side usually fled before actual bayonet fighting ensued. The act of fixing bayonets has been held to be primarily connected to morale, the making of a clear signal to friend and foe of a willingness to kill at close quarters.;;;;;;;;;;;;;
portland_cement;Artificial Cements;;;;;;;;;;;;;
portland_cement_desc;The cements now in the market are of two kinds: natural, made directly from stone and artificial, commonly called Portland cement. The manufacture of the former consists simply in burning and grinding the cement stone. Artificial cement consists of about sixty-two per cent of lime mixed with silica and silicate of alumina in nearly the same proportions as those found in the cement stone, and it is free from magnesia. This seems to be the whole difference in its constitution. In use, the artificial cement sets rapidly and attains maximum hardness in a comparatively short time, the natural cement hardens rather slowly and reaches its maximum hardness only after a long period of exposure to the air. Artificial cement, however, allowed the widespread manufacturing of cement, not anchored to the availability of cement stone.;;;;;;;;;;;;;
canning_process;Canning Process;;;;;;;;;;;;;
canning_process_desc;The canning process was invented after prolonged research by Nicolas Appert of France in 1809, in response to a call by his government for a means of preserving food for army and navy use. Appert’s method consisted of tightly sealing food inside a bottle or jar, heating it to a certain temperature, and maintaining the heat for a certain period, after which the container was kept sealed until use. In 1810 Peter Durand of England patented the use of tin-coated iron cans instead of bottles, and by 1820 he was supplying canned food to the Royal Navy in large quantities.;;;;;;;;;;;;;
industrial_sawmills;Steam-Powered Sawmills;;;;;;;;;;;;;
industrial_sawmills_desc;By the time of the Industrial Revolution, the circular saw blade had been invented, and with the development of steam power  a much greater degree of mechanisation in sawmills is possible. Scrap lumber from the mill provides a source of fuel for firing the boiler. Efficiency is increased, but the capital cost of a new mill increased dramatically as well.;;;;;;;;;;;;;
industrial_furniture_production;Industrial Furniture Production;;;;;;;;;;;;;
industrial_furniture_production_desc; Where previously carpenters and joiners had made furniture along with every kind of building construction in wood, several circumstances combined to create a new profession: that of the cabinetmaker. The growth of cabinetmaking as a trade of its own eventually resulted in a considerable degree of standardization of methods of construction, particularly in the types of joints used and in the thicknesses of wood for the various parts. It also resulted in an increased division of labour: turners, carvers, chairmakers, upholsterers all worked in their respective roles to make and assemble furniture. In the new system of construction, plain, flat parts are dovetailed together and then veneered. It can be contrasted with the traditional framed method of rails and stiles put together with mortise and tenon joints, the panels fitting in grooves. A large store often retained its own workshops where special items were made to customers’ requirements, but for the greater part it became the practice to buy wholesale from furniture making firms.;;;;;;;;;;;;;
industrial_luxury_furniture_production;Industrial Luxury Furniture Production;;;;;;;;;;;;;
industrial_luxury_furniture_production_desc;Marquetry is the centerpiece of the decorative use of the grain and colour of wood in surfaces unbroken by panelling for luxury furniture. To produce the desired effect, the ébéniste, or specialist in marquetry, either drew the pattern directly on the base wood or affixed a paper pattern onto the wood. The thin sheets were then cut out with a burin or, later, sometimes with a saw, the pattern assembled and glued onto the carcass. Marquetry patterns became more and more complex and, though often floral, they could also include geometric and narrative subjects. The range of materials used also became more varied, including not only rare tropical woods and metals such as silver, bronze, and brass but also a wide range of other materials of a semiprecious nature.;;;;;;;;;;;;;
industrial_paper_production;Continuous Paper-Making Machines;;;;;;;;;;;;;
industrial_paper_production_desc;Before the invention of continuous paper making, paper was made in individual sheets by stirring a container of pulp slurry and either pouring it into a fabric sieve called a sheet mould or dipping and lifting the sheet mould from the vat. While still on the fabric in the sheet mould, the wet paper was pressed to remove excess water. The sheet was then lifted off to be hung over a rope or wooden rod to air dry. The Fourdrinier machine, the first continuous one, changed all that. It uses a specially woven fabric mesh conveyor belt in the forming section, where a slurry of fibre is drained to create a continuous paper web, with paper left in a horizontal drainage area, referred to as the drainage table.;;;;;;;;;;;;;
commerce_raiders;Steam Frigates;;;;;;;;;;;;;
