Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
state_of_emergency_modifier;State of Emergency;;;;;;;;;;;;;
state_of_emergency_modifier_desc;State of Emergency or State of Exception means that the government can suspend and/or change some functions of the executive, the legislative and/or the judiciary during this period of time. It alerts citizens to change their normal behavior and orders government agencies to implement emergency plans. A government can declare a state of emergency during a time of natural or human-made disaster, during a period of civil unrest, or following a declaration of war or situation of international/internal armed conflict.;;;;;;;;;;;;;
ANY_ALL;Any province;;;;;;;;;;;;;
HAS_NOT_GOODS;produces ;;;;;;;;;;;;;
IS_IN_REGION; is in the region ;Est dans la région;Ist in der Region ;;Está en la región;;;;;;;;;
TRIGMOD_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi¹zany z okreœlonym wydarzeniem wp³ywa na twoje pañstwo (np. c³o narzucone przez pañstwo trzecie);$head_of_government$ informa de;Quando subisci l'influenza di un modificatore condizionato (ad es. il Pedaggio sullo Stretto);Mikor valami esemény módosulása van rád hatással (korábbi hang-vám);Když jste subjektem trojnásobného modifikátoru;;;;;;
TRIGMODLOST_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi¹zany z okreœlonym wydarzeniem przestaje oddzia³ywaæ na twoje pañstwo (np. c³o narzucone przez pañstwo trzecie);$head_of_government$ informa de;Quando l'effetto di un modificatore condizionato (ad es. il Pedaggio sullo Stretto) cessa;Mikor egy módosítást okozó esemény befejezõdik (korábbi hang-vám);Když jste subjektem trojnásobného modifikátoru.;;;;;;
TRIGGER_CIV_PROGRESS_LESS;Civilization progress: §Y50§W%;;;;;;;;;;;;;
had_liberal_revolution;Liberal Revolution has ended;;;;;;;;;;;;;
oriental_crisis_support_OE;Supports the Ottomans;;;;;;;;;;;;;
oriental_crisis_support_Egypt;Supports the Egyptians;;;;;;;;;;;;;
MAJORITY_IS_NOT;Majority of the population is not ;;;;;;;;;;;;;
crimean_surrender;the Ottomans have surrendered;;;;;;;;;;;;;
colonial_chaos;Colonial Chaos;;;;;;;;;;;;;
colonial_chaos_desc;Our colony is in chaos, and we are in danger of losing it utterly if order is not restored soon!;;;;;;;;;;;;;
loss_of_control;Loss of Control;;;;;;;;;;;;;
loss_of_control_desc;We have lost control over the colony.;;;;;;;;;;;;;
nationalist_agitation;Nationalist Agitation;;;;;;;;;;;;;
nationalist_agitation_desc;Nationalists are active in the province, stirring up trouble with random acts of violence. If left unchecked, they may rise in rebellion against us.;;;;;;;;;;;;;
patriot_uprising;Patriot Uprising;;;;;;;;;;;;;
patriot_uprising_desc;Foreign patriots have taken control of the province.;;;;;;;;;;;;;
the_ikhwan;The Ikhwan;;;;;;;;;;;;;
the_ikhwan_desc;An alliance has been made with the Bedouin Wahhabists. Islam shall remain pure in our nation, in exchange for their military support.;;;;;;;;;;;;;
mandate;Mandate of Heaven;;;;;;;;;;;;;
holy_city;The Holy City;;;;;;;;;;;;;
holy_city_desc;Mecca is the center of all Islam. To hold it is to stand above all others, and prove to them that the fate of all Islam lies in our hands.;;;;;;;;;;;;;
self_strengthening_movement;Self-Strengthening Movement;;;;;;;;;;;;;
drive_to_reunify;Reunification Drive;;;;;;;;;;;;;
drive_to_reunify_desc;We must reunite the country, at any cost!;;;;;;;;;;;;;
taiping_draft;Emergency Draft;;;;;;;;;;;;;
the_female_shortage;The Female Shortage;;;;;;;;;;;;;
the_female_shortage_desc;A populational deficit means that there are more men than women in China, slowing down population growth and upsetting the mass of single males that will never form a family.;;;;;;;;;;;;;
christian_pamphlets;Christian Pamphlets;;;;;;;;;;;;;
chinese_floods;Chinese Floods;;;;;;;;;;;;;
small_country_draft;Emergency Draft;;;;;;;;;;;;;
small_country_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;;
daimyo_draft;Emergency Draft;;;;;;;;;;;;;
daimyo_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;;
sons_of_liberty;Sons of Liberty;;;;;;;;;;;;;
sons_of_liberty_desc;A militia of pro-democracy liberals, determined to either see the United States returned to its democratic tradition or secede their state from the union.;;;;;;;;;;;;;
peasant_revolt;Open Revolt;;;;;;;;;;;;;
peasant_revolt_desc;There is increased agitation within the province, including riots and random violence which the local government has had difficulty putting down.;;;;;;;;;;;;;
shastar_vidya;Shastar Vidiya;;;;;;;;;;;;;
shastar_vidya_desc;The renowned Sikh fighting style, it is a martial art involving sword play ...and has made the Sikhs into fearsome combatants.;;;;;;;;;;;;;
force_publique;Force Publique;;;;;;;;;;;;;
force_publique_title;Form the Force Publique;;;;;;;;;;;;;
force_publique_desc;The Force Publique was the official armed force of the Belgian-controlled Congo Free State. Though ostensibly formed to combat Arab Slavers, the soldiers were often used to enforce economic quotas with brutal punishment.;;;;;;;;;;;;;
rcmp;R.C.M.P.;;;;;;;;;;;;;
rcmp_desc;The Royal Canadian Mounted Police was formed to patrol the newly-acquired North-West Territories, eventually uniting with the Dominion Police to keep order throughout all Canadian provinces.;;;;;;;;;;;;;
kalmar_union;Kalmar Union;;;;;;;;;;;;;
kalmar_union_desc;We have agreed in principle to a closer bond with the other Scandinavian nations.;;;;;;;;;;;;;
leader_of_kalmar;Leader of the Kalmar Union;;;;;;;;;;;;;
leader_of_kalmar_desc;We are the leader of the movement to unite the Scandinavian people under a single flag.;;;;;;;;;;;;;
customs_union;Customs Union;;;;;;;;;;;;;
customs_union_desc;We are a member of a customs union, designed to reduce the barriers in trade between the member nations.;;;;;;;;;;;;;
national_instability;National Instability;;;;;;;;;;;;;
national_instability_desc;The country is in a state of turmoil, and is in danger of rebellions.;;;;;;;;;;;;;
home_of_the_mormons;Home of the Mormons;;;;;;;;;;;;;
home_of_the_mormons_desc;the Mormons believe in polygamy, the taking of many wives, and encourage their followers to have large families.;;;;;;;;;;;;;
gateway_to_america;Gateway to America;;;;;;;;;;;;;
gateway_to_america_desc;Many immigrants from Europe will pass through the gates of Ellis Island, and a great number of them will remain in New York City.;;;;;;;;;;;;;
carlist_sympathies;Carlist Sympathies;;;;;;;;;;;;;
carlist_sympathies_desc;A Carlist cell is at work in the province, and is quickly gaining sympathy for the rebels that wish to topple the Spanish government.;;;;;;;;;;;;;
christino_sympathies;Christino Sympathies;;;;;;;;;;;;;
christino_sympathies_desc;A Christino cell is at work in the province, and is quickly gaining sympathy for the rebels that wish to topple the Spanish government.;;;;;;;;;;;;;
war_torn;War Torn;;;;;;;;;;;;;
war_torn_desc;This province has been devastated by the rebellion.;;;;;;;;;;;;;
boxer_rebellion;Boxer Rebellion;;;;;;;;;;;;;
boxer_rebellion_desc;The province is currently held by the Boxer rebels, and is in great disarray.;;;;;;;;;;;;;
new_country;Newly-Established Country;;;;;;;;;;;;;
new_country_desc;This country has just been established, and its citizens are willing to work harder to keep it running… for the time being.;;;;;;;;;;;;;
jewish_diaspora;Jewish Diaspora;;;;;;;;;;;;;
jewish_diaspora_desc;The Jewish community is organizing in reaction to the creation of Israel.;;;;;;;;;;;;;
declaration_of_the_rights_of_man;Declaration of the Rights of Man;;;;;;;;;;;;;
declaration_of_the_rights_of_man_desc;The Declaration of the Rights of Man and of the Citizen, a fundamental document of the French Revolution, defined the individual and collective rights of all the estates of the realm as universal.;;;;;;;;;;;;;
caste_privileges;Caste Privilege;;;;;;;;;;;;;
caste_privileges_desc;An early goal of British Imperialists in India was to create a class of local elites in their own image. They were successful, forming a new caste of wealthy Indians who rose to prominence within the colony.;;;;;;;;;;;;;
sati_abolished;Abolishment of Sati;;;;;;;;;;;;;
sati_abolished_desc;The abolishment of Sati funeral practices, where a recent widow immolated herself on her husband's grave, was incredibly unpopular in some parts of India.;;;;;;;;;;;;;
pig_fat_cartridges;Pig Fat Cartridges;;;;;;;;;;;;;
pig_fat_cartridges_desc;The issuing of gunpowder cartridges which were believed to be greased with pig fat was considered an incredible insult by Sepoy soldiers, and further evidence of the growing cultural rift between Indians and colonial powers.;;;;;;;;;;;;;
carlism;Carlism;;;;;;;;;;;;;
carlism_desc;Carlism is a traditionalist and legitimist political movement in Spain seeking the establishment of a separate line of the Bourbon family on the Spanish throne. This line descended from Infante Carlos, Count of Molina, and was founded due to dispute over the succession laws and widespread dissatisfaction with the Alfonsine line of the House of Bourbon.;;;;;;;;;;;;;
spirit_of_freedom;The Spirit of Freedom;;;;;;;;;;;;;
spirit_of_freedom_desc;For some cultures, the notion of democracy and individual freedom is rooted in their very psyche.;;;;;;;;;;;;;
national_identity;National Identity;;;;;;;;;;;;;
national_identity_desc;The concept of nationhood began taking hold in the late 19th century, as people began to identify more with the country they lived in rather than a particular region. Nationalism quickly gave rise to rebels who sought independence from foreign rule, or to rejoin their homeland.;;;;;;;;;;;;;
anti_jacobin_movement;Anti-Jacobin;;;;;;;;;;;;;
anti_jacobin_movement_desc;A reaction to the Jacobins and the struggle for democracy, reactionary elements in countries became very entrenched against democracy as a concept-- calling it 'inherently flawed' and misguided, as well as a source of chaos, rather than holding the possibility of anything useful or good.;;;;;;;;;;;;;
sharia_law;Sharia Law;;;;;;;;;;;;;
sharia_law_desc;Sharia is the strict moral code and religious law of Islam, considered the infallible law of God-- interpreted by Islamic judges who have responsibilities to religious leaders.;;;;;;;;;;;;;
ottoman_oppression;Christian Oppression;;;;;;;;;;;;;
ottoman_oppression_desc;A number of Ottoman policies regarding Christians within the Empire, such as the Jizya tax and restrictions on work and movement, set the stage for issues in the Balkans for years to come. These policies were not revoked until the Tanzimat Reforms which began in 1839.;;;;;;;;;;;;;
ottomanism_reform;Imperial Reform Edict;;;;;;;;;;;;;
ottomanism_reform_desc;The Hatt-i Hümayun has established religious equality among the Empire's minorities, and gone a long way towards assuaging some of the concerns of nationalists within our borders.;;;;;;;;;;;;;
great_statesman;Great Statesman;;;;;;;;;;;;;
great_statesman_desc;Our leader is an able speaker and a fine statesman, respected by other world leaders.;;;;;;;;;;;;;
begin_revolution;Revolutionary State;;;;;;;;;;;;;
begin_revolution_desc;Our country is a fledgling state, founded in the midst of chaos and rebellion. But the people are willing to fight!;;;;;;;;;;;;;
zemene_mesafint;Zemene Mesafint;;;;;;;;;;;;;
zemene_mesafint_desc;The 'Age of Princes', where the rulers of Ethiopia must struggle to unite the nation under a single Emperor.;;;;;;;;;;;;;
irish_integration;Irish Integration;;;;;;;;;;;;;
irish_oppression;Irish Destitution;;;;;;;;;;;;;
irish_oppression_desc;The system of absentee landownership has left Ireland a model of inefficiency, and left the Irish continually struggling and rebelling against British rule for centuries.;;;;;;;;;;;;;
land_of_opportunity;Land of Opportunity;;;;;;;;;;;;;
