Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC20002_NEWS_LONG;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage. The $COUNTRY_ADJ$ army stood by, waiting for the orders to attack the crowds, but some in $COUNTRY$ are considering whether it might be better to accede to the public’s demands.;;;;;;;;;;;;;
EVTDESC20002_NEWS_MEDIUM;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage.;;;;;;;;;;;;;
EVTDESC20002_NEWS_SHORT;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage.;;;;;;;;;;;;;
EVTNAME20006_NEWS_TITLE;$COUNTRY_ADJ$ Dictator Assassinated!;;;;;;;;;;;;;
EVTDESC20006_NEWS_LONG;Today is a grim day for $COUNTRY$. The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radical liberals. The country has been thrown into mourning, though even now there is word that factions are maneuvering to either find a successor to take the president's place… or overthrow the $COUNTRY_ADJ$ dictatorship once and for all.;;;;;;;;;;;;;
EVTDESC20006_NEWS_MEDIUM;Today is a grim day for $COUNTRY$. The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radicals. The country has been thrown into mourning, though even now factions are maneuvering to find a successor to take the president's place.;;;;;;;;;;;;;
EVTDESC20006_NEWS_SHORT;The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radicals. Even now factions are maneuvering to find a successor to take the president's place.;;;;;;;;;;;;;
EVTNAME97205_NEWS_TITLE;Kiel Canal' Now Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
EVTDESC97205_NEWS_LONG;The recent military and administrative takeover of the province of Kiel by $COUNTRY$ has caused hefty discussions among the international trading companies, as this small North German territory homes the 'Kiel Canal'. Since its opening the canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;;
EVTDESC97205_NEWS_MEDIUM;The recent takeover of the 'Kiel Canal' by $COUNTRY$ has caused hefty discussions among the international trading companies. The canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea.;;;;;;;;;;;;;
