Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HAS_NO_UNION_TAG;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;
HAS_GOODS;produces ;;;;;;;;;;;;;
shinto;Shinto;;;;;;;;;;;;;
sephardic;Sephardic;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
HAS_SIEGE;Under Siege;;;;;;;;;;;;;
regular;Regular;;;;;;;;;;;;;
regular_short;Reg;;;;;;;;;;;;;
horse_artillery;Mobile Artillery;;;;;;;;;;;;;
horse_artillery_short;M-art;;;;;;;;;;;;;
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;
active_p;Active;Actif;Aktiv;;;;;;;;;;;
au_fait;Au'fait;Au fait;Sicher;;;;;;;;;;;
apathetic;Apathetic;;;;;;;;;;;;;
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;
able;Able;Capable;Fähig;;;;;;;;;;;
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;
aggressive;Aggressive;Agressif;Aggressiv;;;;;;;;;;;
arrogant;Arrogant;Arrogant;Arrogant;;;;;;;;;;;
balanced_p;Balanced;Pondéré;Ausgewogen;;;;;;;;;;;
bigoted;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;
brilliant;Brilliant;Brillant;Brilliant;;;;;;;;;;;
brutish;Brutish;Brutal;Brutal;;;;;;;;;;;
bold;Bold;Téméraire;Mutig;;;;;;;;;;;
brash;Brash;Impudent;Forsch;;;;;;;;;;;
ballsy;Ballsy;Valeureux;Forsch;;;;;;;;;;;
bastard;Bastard;Goujat;Bastard;;;;;;;;;;;
cautious;Cautious;Prudent;Vorsichtig;;;;;;;;;;;
coward;Coward;Couard;Kleinmütig;;;;;;;;;;;
chickenhearted;Chickenhearted;Poltron;Ängstlich;;;;;;;;;;;
craven;Craven;Veule;Mutlos;;;;;;;;;;;
competent;Competent;Compétent;Kompetent;;;;;;;;;;;
clever;Clever;Adroit;Clever;;;;;;;;;;;
careless;Careless;Négligent;Achtlos;;;;;;;;;;;
calm;Calm;Calme;Ruhig;;;;;;;;;;;
cool_minded;Coolminded;Serein;Bedachtsam;;;;;;;;;;;
careful;Careful;Attentif;Sorgsam;;;;;;;;;;;
cruel;Cruel;;;;;;;;;;;;;
choleric;Choleric;Colérique;Cholerisch;;;;;;;;;;;
charismatic;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;
chivalrous;Chivalrous;Courtois;Ritterlich;;;;;;;;;;;
confident;Confident;Confiant;Sicher;;;;;;;;;;;
doughty;Doughty;Vaillant;Tapfer;;;;;;;;;;;
defiant;Defiant;Provocateur;Trotzig;;;;;;;;;;;
disciplined;Disciplined;Discipliné;Diszipliniert;;;;;;;;;;;
diligent;Diligent;;;;;;;;;;;;;
dauntless;Dauntless;Déterminé;Unverzagt;;;;;;;;;;;
daring;Daring;Hardi;Draufgängerisch;;;;;;;;;;;
disorderly;Disorderly;Désordonné;Unordentlich;;;;;;;;;;;
decisive;Decisive;;;;;;;;;;;;;
dumb;Dumb;;;;;;;;;;;;;
diplomatic;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;
deeply_religious;Deeply Religious;Très croyant;Tief religiös;;;;;;;;;;;
expert;Expert;Expert;Experte;;;;;;;;;;;
energetic;Energetic;;;;;;;;;;;;;
efficient;Efficient;Efficace;Effizient;;;;;;;;;;;
emotional;Emotional;;;;;;;;;;;;;
earnest;Earnest;Sérieux;Ernsthaft;;;;;;;;;;;
fearless;Fearless;;;;;;;;;;;;;
forgiving;Forgiving;;;;;;;;;;;;;
fanatic;Fanatic;Fanatique;Fanatisch;;;;;;;;;;;
gallant;Gallant;Courageux;Galant;;;;;;;;;;;
glory_hound;Glory Hound;Ambitieux;Ruhmsüchtig;;;;;;;;;;;
genius;Genius;;;;;;;;;;;;;
gutsy;Gutsy;Brave;Waghalsig;;;;;;;;;;;
harsh;Harsh;Dur;Harsch;;;;;;;;;;;
hellbent;Hellbent;Acharné;Draufgänger;;;;;;;;;;;
heroic;Heroic;Héroïque;Heroisch;;;;;;;;;;;
irresponsible;Irresponsible;;;;;;;;;;;;;
imaginative;Imaginative;;;;;;;;;;;;;
indecisive;Indecisive;;;;;;;;;;;;;
inspiring;Inspiring;Stimulant;Inspirierend;;;;;;;;;;;
impetuous;Impetuous;Impétueux;Ungestüm;;;;;;;;;;;
implacable;Implacable;Implacable;Unerbittlich;;;;;;;;;;;
imperious;Imperious;Autoritaire;Herrisch;;;;;;;;;;;
irate;Irate;Furieux;Aufbrausend;;;;;;;;;;;
intuitive;Intuitive;Intuitif;Intuitiv;;;;;;;;;;;
impulsive;Impulsive;Impulsif;Impulsiv;;;;;;;;;;;
incapable;Incapable;Incapable;Unfähig;;;;;;;;;;;
indifferent;Indifferent;Indifférent;Gleichgültig;;;;;;;;;;;
intelligent;Intelligent;Intelligent;Intelligent;;;;;;;;;;;
inept;Inept;Inepte;Untauglich;;;;;;;;;;;
inefficient;Inefficient;Inefficace;Ineffizient;;;;;;;;;;;
keen;Keen;Enthousiaste;Gewitzt;;;;;;;;;;;
lilylivered;Lilylivered;Froussard;Feige;;;;;;;;;;;
lackluster;Lackluster;Terne;Lustlos;;;;;;;;;;;
merciless;Merciless;Impitoyable;Gnadenlos;;;;;;;;;;;
meticulous;Meticulous;Méticuleux;Genau;;;;;;;;;;;
manful;Manful;Ardent;Männlich;;;;;;;;;;;
madman;Madman;Fou;Irrer;;;;;;;;;;;
mediocre;Mediocre;Médiocre;Mittelmäßig;;;;;;;;;;;
maladroit;Maladroit;Maladroit;Unbeholfen;;;;;;;;;;;
openminded;Openminded;Ouvert d'esprit;Offen;;;;;;;;;;;
persistant;Persistant;Persévérant;Hartnäckig;;;;;;;;;;;
pompous;Pompous;;;;;;;;;;;;;
paranoid;Paranoid;;;;;;;;;;;;;
polite;Polite;Poli;Höflich;;;;;;;;;;;
pusillanimous;Pusillanimous;Pusillanime;Verzagt;;;;;;;;;;;
pisspoor;Pisspoor;Pitoyable;Arm;;;;;;;;;;;
perverse;Perverse;Entêté;Pervers;;;;;;;;;;;
resourceful;Resourceful;Ingénieux;Findig;;;;;;;;;;;
respectful;Respectful;;;;;;;;;;;;;
romantic;Romantic;Romantique;Romantisch;;;;;;;;;;;
relentless;Relentless;Implacable;Unbarmherzig;;;;;;;;;;;
reserved;Reserved;Réservé;Reserviert;;;;;;;;;;;
resolute;Resolute;Résolu;Resolut;;;;;;;;;;;
ruthless;Ruthless;;;;;;;;;;;;;
rebellious;Rebellious;;;;;;;;;;;;;
skilled;Skilled;Talentueux;Geschickt;;;;;;;;;;;
secretive;Secretive;;;;;;;;;;;;;
shrinking_violet;Shrinking Violet;Timoré;Mauerblümchen;;;;;;;;;;;
sinner;Sinner;;;;;;;;;;;;;
strange;Strange;Étrange;Merkwürdig;;;;;;;;;;;
stout;Stout;Solide;Beherzt;;;;;;;;;;;
soldierly;Soldierly;Militaire;Soldatisch;;;;;;;;;;;
spirited;Spirited;Fougueux;Sprühend;;;;;;;;;;;
stalwart;Stalwart;Robuste;Robust;;;;;;;;;;;
soft;Soft;Indolent;Weich;;;;;;;;;;;
spineless;Spineless;Mou;Rückgratlos;;;;;;;;;;;
stouthearted;Stouthearted;Intrépide;Beherzt;;;;;;;;;;;
steadfast;Steadfast;Inébranlable;Solide;;;;;;;;;;;
scared;Scared;Craintif;Verängstigt;;;;;;;;;;;
shirker;Shirker;Tire-au-flanc;Drückeberger;;;;;;;;;;;
smart_p;Smart;Habile;Schlau;;;;;;;;;;;
sharp;Sharp;Malin;Klug;;;;;;;;;;;
timid;Timid;Timide;Furchtsam;;;;;;;;;;;
tactful;Tactful;Délicat;Taktvoll;;;;;;;;;;;
unflinching;Unflinching;Opiniâtre;Entschlossen;;;;;;;;;;;
unruly;Unruly;Insoumis;Widerborstig;;;;;;;;;;;
undisciplined;Undisciplined;Indiscipliné;Undiszipliniert;;;;;;;;;;;
unforgiving;Unforgiving;;;;;;;;;;;;;
unmanly;Unmanly;Lâche;Unmännlich;;;;;;;;;;;
unsound;Unsound;Dangereux;Unzuverlässig;;;;;;;;;;;
vainglorious;Vainglorious;Vaniteux;Prahlerisch;;;;;;;;;;;
vicious;Vicious;Violent;Bösartig;;;;;;;;;;;
wrathful;Wrathful;Courroucé;Zornerfüllt;;;;;;;;;;;
wretched;Wretched;Misérable;Jämmerlich;;;;;;;;;;;
yellow;Yellow;Trouillard;Memme;;;;;;;;;;;
no_background;No Background;Aucun(e);Nichts;;;;;;;;;;;
ambitious_careerist;Ambitious Careerist;;;;;;;;;;;;;
architect;Architect;;;;;;;;;;;;;
armchair_general;Armchair General;Général de façade;Sesselgeneral;;;;;;;;;;;
artillerist;Artillerist;Artilleur;Artillerist;;;;;;;;;;;
amateur;Amateur;Amateur;Amateur;;;;;;;;;;;
aristocrat;Aristocrat;Aristocrate;Aristokrat;;;;;;;;;;;
adventurer;Adventurer;Aventurier;Abenteurer;;;;;;;;;;;
butcher;Butcher;Boucher;Schlächter;;;;;;;;;;;
bureaucrat_speed;Bureaucrat Speed;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;
brownnoser;Brownnoser;Lèche-cul;Stiefellecker;;;;;;;;;;;
brilliant_strategist;Brilliant Strategist;;;;;;;;;;;;;
bootlicker;Bootlicker;Lèche-bottes;Speichellecker;;;;;;;;;;;
cavalry_school;Cavalry School;École de cavalerie;Kavallerieschule;;;;;;;;;;;
